Current Price,Link,Name,Old Price,Product code/number
$19.99,http://www.hm.com/us/product/66546?article=66546-C,Long-sleeved Lace Top,$34.99,66546-C
$14.99,http://www.hm.com/us/product/66158?article=66158-B,Velvet Camisole Top,$24.99,66158-B
$14.99,http://www.hm.com/us/product/57946?article=57946-C,Ribbed Top,$34.99,57946-C
$9.99,http://www.hm.com/us/product/67864?article=67864-A,Short Top,$17.99,67864-A
$9.99,http://www.hm.com/us/product/69072?article=69072-A,Short Printed Jersey Top,$14.99,69072-A
$12.99,http://www.hm.com/us/product/58201?article=58201-A,Ribbed Top,$34.99,58201-A
$19.99,http://www.hm.com/us/product/67529?article=67529-C,Short Sweatshirt,$34.99,67529-C
$9.99,http://www.hm.com/us/product/69500?article=69500-A,Velour T-shirt,$17.99,69500-A
$12.99,http://www.hm.com/us/product/59316?article=59316-B,Top with Lacing,$24.99,59316-B
$7.99,http://www.hm.com/us/product/66154?article=66154-C,Wide-cut T-shirt,$12.99,66154-C
$5.99,http://www.hm.com/us/product/66728?article=66728-B,Ribbed Camisole Top,$12.99,66728-B
$19.99,http://www.hm.com/us/product/66546?article=66546-A,Long-sleeved Lace Top,$34.99,66546-A
$9.99,http://www.hm.com/us/product/64983?article=64983-A,Ribbed Top,$17.99,64983-A
$24.99,http://www.hm.com/us/product/61183?article=61183-A,Off-the-shoulder Top,$34.99,61183-A
$9.99,http://www.hm.com/us/product/55410?article=55410-D,Mock-turtleneck Top,$17.99,55410-D
$12.99,http://www.hm.com/us/product/59964?article=59964-A,V-neck Camisole Top,$17.99,59964-A
$19.99,http://www.hm.com/us/product/68538?article=68538-A,Tulle Top,$39.99,68538-A
$7.99,http://www.hm.com/us/product/34980?article=34980-A,Jersey Top,$12.99,34980-A
$9.99,http://www.hm.com/us/product/64828?article=64828-C,Jersey Top,$14.99,64828-C
$19.99,http://www.hm.com/us/product/65225?article=65225-A,Lyocell Top,$24.99,65225-A
$14.99,http://www.hm.com/us/product/56522?article=56522-F,Long-sleeved Top,$24.99,56522-F
$17.99,http://www.hm.com/us/product/63209?article=63209-A,Short Top,$29.99,63209-A
$17.99,http://www.hm.com/us/product/47995?article=47995-A,Short Satin Top,$34.99,47995-A
$9.99,http://www.hm.com/us/product/54285?article=54285-I,Long-sleeved Jersey Top,$17.99,54285-I
$17.99,http://www.hm.com/us/product/62105?article=62105-B,Short Top with Lacing,$29.99,62105-B
$14.99,http://www.hm.com/us/product/63835?article=63835-A,Pointelle Top,$24.99,63835-A
$14.99,http://www.hm.com/us/product/69616?article=69616-B,Velour Top,$24.99,69616-B
$24.99,http://www.hm.com/us/product/68411?article=68411-A,Cupro-blend Top,$39.99,68411-A
$9.99,http://www.hm.com/us/product/68808?article=68808-A,Velour Camisole Top,$17.99,68808-A
